time,open,high,low,close,volume,count
1697300100,25640.3,25640.3,25620.0,25623.5,1.91183006,146
1697301000,25624.5,25628.2,25614.3,25615.6,2.89118522,116
1697301900,25615.6,25633.0,25615.5,25633.0,2.04336587,104
1697302800,25633.0,25638.6,25606.0,25606.1,3.34416873,174
1697303700,25606.1,25620.4,25606.0,25606.0,1.60871516,101
1697304600,25606.0,25610.1,25594.5,25601.7,1.4635067,128
1697305500,25601.6,25604.1,25600.0,25600.0,0.69305257,98
1697306400,25600.1,25600.1,25578.1,25580.7,13.54260588,226
1697307300,25580.8,25586.6,25580.7,25583.9,1.27780322,102
1697308200,25584.0,25592.0,25581.0,25584.4,0.73450115,95
1697309100,25584.4,25587.4,25580.8,25581.9,3.37508616,114
1697310000,25581.9,25581.9,25570.0,25570.0,2.43629098,150
1697310900,25570.8,25585.2,25569.4,25581.6,2.89617869,132
1697311800,25581.6,25586.2,25568.0,25568.1,1.86506889,97
1697312700,25568.5,25570.2,25565.4,25570.0,1.93276048,84
1697313600,25570.1,25570.1,25565.0,25566.3,1.42251341,121
1697314500,25566.3,25566.8,25546.7,25546.8,25.49204853,135
1697315400,25545.7,25561.5,25542.8,25559.9,1.02742144,83
1697316300,25559.8,25563.6,25556.1,25556.1,1.72054181,78
1697317200,25556.2,25593.2,25556.2,25577.5,2.45507545,147
1697318100,25577.5,25578.4,25519.3,25519.3,2.27528699,134
1697319000,25523.0,25550.0,25523.0,25543.5,0.60361548,75
1697319900,25540.9,25545.0,25533.8,25533.9,1.00625957,62
1697320800,25533.9,25547.6,25533.8,25543.0,0.83945368,97
1697321700,25543.0,25549.0,25542.9,25546.4,0.87512752,88
1697322600,25546.3,25551.9,25546.3,25548.1,0.43925202,72
1697323500,25549.7,25570.1,25549.7,25565.5,1.13988726,75
1697324400,25565.5,25578.3,25565.4,25577.4,0.25729537,65
1697325300,25577.3,25577.4,25574.6,25576.8,0.49352469,45
1697326200,25576.9,25576.9,25570.3,25575.2,0.19156035,66
1697327100,25575.2,25575.3,25570.7,25570.7,0.17439631,51
1697328000,25570.7,25570.7,25554.4,25558.1,0.65374256,143
